"date" "infected"
12.03.2020 0
13.03.2020 0
14.03.2020 0
15.03.2020 0
16.03.2020 0
17.03.2020 0
18.03.2020 1
19.03.2020 2
20.03.2020 4
21.03.2020 4
22.03.2020 4
23.03.2020 4
24.03.2020 4
25.03.2020 4
26.03.2020 5
27.03.2020 5
28.03.2020 7
29.03.2020 8
30.03.2020 9
31.03.2020 9
01.04.2020 10
02.04.2020 10
03.04.2020 10
04.04.2020 10
05.04.2020 11
06.04.2020 11
07.04.2020 11
08.04.2020 13
09.04.2020 18
10.04.2020 21
11.04.2020 28
12.04.2020 28
13.04.2020 36
14.04.2020 36
15.04.2020 53
16.04.2020 64
17.04.2020 76
18.04.2020 86
19.04.2020 108
20.04.2020 132
21.04.2020 135
22.04.2020 151
23.04.2020 168
24.04.2020 209
25.04.2020 247
26.04.2020 305
27.04.2020 347
28.04.2020 407
29.04.2020 436
30.04.2020 471
01.05.2020 526
02.05.2020 569
03.05.2020 620
04.05.2020 681
05.05.2020 746
06.05.2020 809
07.05.2020 876
08.05.2020 949
09.05.2020 1025
10.05.2020 1100
11.05.2020 1171
12.05.2020 1226
13.05.2020 1300
14.05.2020 1376
15.05.2020 1447
16.05.2020 1511
17.05.2020 1581
18.05.2020 1652
19.05.2020 1728
20.05.2020 1805
21.05.2020 1881
22.05.2020 1960
23.05.2020 2043
24.05.2020 2124
25.05.2020 2213
26.05.2020 2300
27.05.2020 2397
28.05.2020 2493
29.05.2020 2596
30.05.2020 2705
31.05.2020 2809
01.06.2020 2914
02.06.2020 3020
03.06.2020 3122
04.06.2020 3226
05.06.2020 3334
06.06.2020 3441
07.06.2020 3546
08.06.2020 3648
09.06.2020 3752
10.06.2020 3858
11.06.2020 3960
12.06.2020 4069
13.06.2020 4177
14.06.2020 4285
15.06.2020 4394
16.06.2020 4497
17.06.2020 4604
18.06.2020 4711
19.06.2020 4819
20.06.2020 4928
21.06.2020 5033
22.06.2020 5142
23.06.2020 5248
24.06.2020 5356
25.06.2020 5458
26.06.2020 5566
27.06.2020 5671
28.06.2020 5769
29.06.2020 5876
30.06.2020 5985
01.07.2020 6085
02.07.2020 6177
03.07.2020 6282
04.07.2020 6393
05.07.2020 6505
06.07.2020 6611
07.07.2020 6724
08.07.2020 6831
09.07.2020 6932
10.07.2020 7043
11.07.2020 7153
12.07.2020 7274
13.07.2020 7386
14.07.2020 7505
15.07.2020 7608
16.07.2020 7728
17.07.2020 7845
18.07.2020 7959
19.07.2020 8077
20.07.2020 8186
21.07.2020 8288
22.07.2020 8401
23.07.2020 8511
24.07.2020 8616
25.07.2020 8717
26.07.2020 8826
27.07.2020 8930
28.07.2020 9033
29.07.2020 9140
30.07.2020 9241
31.07.2020 9346
01.08.2020 9444
02.08.2020 9548
03.08.2020 9654
04.08.2020 9749
05.08.2020 9846
06.08.2020 9939
07.08.2020 10031
08.08.2020 10130
09.08.2020 10182
10.08.2020 10269
11.08.2020 10334
12.08.2020 10398
13.08.2020 10451
14.08.2020 10518
15.08.2020 10574
16.08.2020 10621
17.08.2020 10674
18.08.2020 10724
19.08.2020 10775
20.08.2020 10819
21.08.2020 10872
22.08.2020 10928
23.08.2020 10978
24.08.2020 11035
25.08.2020 11094
26.08.2020 11141
27.08.2020 11192
28.08.2020 11238
29.08.2020 11289
30.08.2020 11344
31.08.2020 11404
01.09.2020 11456
02.09.2020 11501
03.09.2020 11551
04.09.2020 11607
05.09.2020 11670
06.09.2020 11727
07.09.2020 11777
08.09.2020 11829
09.09.2020 11885
10.09.2020 11941
11.09.2020 11994
12.09.2020 12044
13.09.2020 12093
14.09.2020 12148
15.09.2020 12207
16.09.2020 12260
