"date" "infected"
22.01.2020 0
23.01.2020 0
24.01.2020 0
25.01.2020 0
26.01.2020 0
27.01.2020 0
28.01.2020 0
29.01.2020 0
30.01.2020 0
31.01.2020 2
01.02.2020 2
02.02.2020 2
03.02.2020 2
04.02.2020 2
05.02.2020 2
06.02.2020 2
07.02.2020 2
08.02.2020 2
09.02.2020 2
10.02.2020 2
11.02.2020 2
12.02.2020 2
13.02.2020 2
14.02.2020 2
15.02.2020 2
16.02.2020 2
17.02.2020 2
18.02.2020 2
19.02.2020 2
20.02.2020 2
21.02.2020 2
22.02.2020 2
23.02.2020 2
24.02.2020 2
25.02.2020 2
26.02.2020 2
27.02.2020 2
28.02.2020 2
29.02.2020 2
01.03.2020 2
02.03.2020 3
03.03.2020 3
04.03.2020 3
05.03.2020 4
06.03.2020 13
07.03.2020 13
08.03.2020 17
09.03.2020 17
10.03.2020 20
11.03.2020 20
12.03.2020 28
13.03.2020 45
14.03.2020 59
15.03.2020 63
16.03.2020 90
17.03.2020 114
18.03.2020 147
19.03.2020 199
20.03.2020 253
21.03.2020 306
22.03.2020 367
23.03.2020 438
24.03.2020 495
25.03.2020 658
26.03.2020 840
27.03.2020 1036
28.03.2020 1264
29.03.2020 1534
30.03.2020 1836
31.03.2020 2337
01.04.2020 2777
02.04.2020 3548
03.04.2020 4149
04.04.2020 4731
05.04.2020 5389
06.04.2020 6343
07.04.2020 7497
08.04.2020 8672
09.04.2020 10131
10.04.2020 11917
11.04.2020 13584
12.04.2020 15770
13.04.2020 18328
14.04.2020 21102
15.04.2020 24490
16.04.2020 27938
17.04.2020 32008
18.04.2020 36793
19.04.2020 42853
20.04.2020 47121
21.04.2020 52763
22.04.2020 57999
23.04.2020 62773
24.04.2020 68622
25.04.2020 74588
26.04.2020 80949
27.04.2020 87147
28.04.2020 93558
29.04.2020 99399
30.04.2020 106498
01.05.2020 114431
02.05.2020 124054
03.05.2020 134687
04.05.2020 145268
05.05.2020 155370
06.05.2020 165929
07.05.2020 177160
08.05.2020 187859
09.05.2020 198676
10.05.2020 209688
11.05.2020 221344
12.05.2020 232243
13.05.2020 242271
14.05.2020 252245
15.05.2020 262843
16.05.2020 272043
17.05.2020 281752
18.05.2020 290678
19.05.2020 299941
20.05.2020 308705
21.05.2020 317554
22.05.2020 326448
23.05.2020 335882
24.05.2020 344481
25.05.2020 353427
26.05.2020 362342
27.05.2020 370680
28.05.2020 379051
29.05.2020 387623
30.05.2020 396575
31.05.2020 405843
01.06.2020 414328
02.06.2020 423186
03.06.2020 431715
04.06.2020 440538
05.06.2020 449256
06.06.2020 458102
07.06.2020 467073
08.06.2020 476043
09.06.2020 484630
10.06.2020 493023
11.06.2020 501800
12.06.2020 510761
13.06.2020 519458
14.06.2020 528267
15.06.2020 536484
16.06.2020 544725
17.06.2020 552549
18.06.2020 560321
19.06.2020 568292
20.06.2020 576162
21.06.2020 583879
22.06.2020 591465
23.06.2020 598878
24.06.2020 606043
25.06.2020 613148
26.06.2020 619936
27.06.2020 626779
28.06.2020 633563
29.06.2020 640246
30.06.2020 646929
01.07.2020 653479
02.07.2020 660231
03.07.2020 666941
04.07.2020 673564
05.07.2020 680283
06.07.2020 686852
07.07.2020 693215
08.07.2020 699749
09.07.2020 706240
10.07.2020 712863
11.07.2020 719449
12.07.2020 726036
13.07.2020 732547
14.07.2020 738787
15.07.2020 745197
16.07.2020 751612
17.07.2020 758001
18.07.2020 764215
19.07.2020 770311
20.07.2020 776212
21.07.2020 782040
22.07.2020 787890
23.07.2020 793720
24.07.2020 799499
25.07.2020 805332
26.07.2020 811073
27.07.2020 816680
28.07.2020 822060
29.07.2020 827509
30.07.2020 832993
31.07.2020 838461
01.08.2020 843890
02.08.2020 849277
03.08.2020 854641
04.08.2020 859762
05.08.2020 864948
06.08.2020 870187
07.08.2020 875378
08.08.2020 880563
09.08.2020 885718
10.08.2020 890799
11.08.2020 895691
12.08.2020 900745
13.08.2020 905762
14.08.2020 910778
15.08.2020 915808
16.08.2020 920719
17.08.2020 925558
18.08.2020 930276
19.08.2020 935066
20.08.2020 939833
21.08.2020 944671
22.08.2020 949531
23.08.2020 954328
24.08.2020 959016
25.08.2020 963655
26.08.2020 968297
27.08.2020 972972
28.08.2020 977730
29.08.2020 982573
30.08.2020 987470
31.08.2020 992402
01.09.2020 997072
02.09.2020 1001965
03.09.2020 1006923
04.09.2020 1011987
05.09.2020 1017131
06.09.2020 1022228
07.09.2020 1027334
08.09.2020 1032354
09.09.2020 1037526
10.09.2020 1042836
11.09.2020 1048257
12.09.2020 1053663
13.09.2020 1059024
14.09.2020 1064438
15.09.2020 1069873
