"date" "infected"
22.01.2020 1
23.01.2020 1
24.01.2020 2
25.01.2020 2
26.01.2020 5
27.01.2020 5
28.01.2020 5
29.01.2020 5
30.01.2020 5
31.01.2020 7
01.02.2020 8
02.02.2020 8
03.02.2020 11
04.02.2020 11
05.02.2020 11
06.02.2020 11
07.02.2020 11
08.02.2020 11
09.02.2020 11
10.02.2020 11
11.02.2020 12
12.02.2020 12
13.02.2020 13
14.02.2020 13
15.02.2020 13
16.02.2020 13
17.02.2020 13
18.02.2020 13
19.02.2020 13
20.02.2020 13
21.02.2020 15
22.02.2020 15
23.02.2020 15
24.02.2020 15
25.02.2020 15
26.02.2020 15
27.02.2020 16
28.02.2020 16
29.02.2020 24
01.03.2020 30
02.03.2020 52
03.03.2020 72
04.03.2020 103
05.03.2020 172
06.03.2020 215
07.03.2020 337
08.03.2020 450
09.03.2020 515
10.03.2020 713
11.03.2020 1105
12.03.2020 1530
13.03.2020 2115
14.03.2020 2814
15.03.2020 2986
16.03.2020 4354
17.03.2020 5970
18.03.2020 8386
19.03.2020 12674
20.03.2020 18736
21.03.2020 24508
22.03.2020 33152
23.03.2020 43850
24.03.2020 54112
25.03.2020 66055
26.03.2020 83611
27.03.2020 102101
28.03.2020 122059
29.03.2020 141205
30.03.2020 162707
31.03.2020 188744
01.04.2020 214205
02.04.2020 244610
03.04.2020 276547
04.04.2020 309699
05.04.2020 337573
06.04.2020 367215
07.04.2020 397992
08.04.2020 429686
09.04.2020 464442
10.04.2020 497943
11.04.2020 527969
12.04.2020 556522
13.04.2020 581813
14.04.2020 608878
15.04.2020 637974
16.04.2020 669272
17.04.2020 701996
18.04.2020 730266
19.04.2020 756544
20.04.2020 783931
21.04.2020 809295
22.04.2020 837627
23.04.2020 871617
24.04.2020 907908
25.04.2020 940829
26.04.2020 968518
27.04.2020 990983
28.04.2020 1015518
29.04.2020 1043038
30.04.2020 1072667
01.05.2020 1106829
02.05.2020 1136024
03.05.2020 1161611
04.05.2020 1184086
05.05.2020 1208271
06.05.2020 1233527
07.05.2020 1261409
08.05.2020 1288587
09.05.2020 1314320
10.05.2020 1334084
11.05.2020 1352962
12.05.2020 1375152
13.05.2020 1396110
14.05.2020 1423727
15.05.2020 1449027
16.05.2020 1474128
17.05.2020 1493132
18.05.2020 1514901
19.05.2020 1535350
20.05.2020 1559157
21.05.2020 1584512
22.05.2020 1608653
23.05.2020 1630476
24.05.2020 1651289
25.05.2020 1670280
26.05.2020 1689163
27.05.2020 1707445
28.05.2020 1730260
29.05.2020 1754764
30.05.2020 1779214
31.05.2020 1799124
01.06.2020 1816479
02.06.2020 1837374
03.06.2020 1857332
04.06.2020 1878683
05.06.2020 1903907
06.06.2020 1926639
07.06.2020 1944370
08.06.2020 1961785
09.06.2020 1979912
10.06.2020 2000706
11.06.2020 2023656
12.06.2020 2048986
13.06.2020 2074542
14.06.2020 2094366
15.06.2020 2114026
16.06.2020 2137731
17.06.2020 2163290
18.06.2020 2191099
19.06.2020 2222579
20.06.2020 2255328
21.06.2020 2281767
22.06.2020 2312303
23.06.2020 2347491
24.06.2020 2382426
25.06.2020 2422299
26.06.2020 2467554
27.06.2020 2510259
28.06.2020 2549864
29.06.2020 2590668
30.06.2020 2636414
01.07.2020 2687588
02.07.2020 2742049
03.07.2020 2795361
04.07.2020 2841241
05.07.2020 2891124
06.07.2020 2936077
07.07.2020 2996098
08.07.2020 3054699
09.07.2020 3117946
10.07.2020 3185737
11.07.2020 3245925
12.07.2020 3304942
13.07.2020 3364157
14.07.2020 3431574
15.07.2020 3498902
16.07.2020 3576157
17.07.2020 3647715
18.07.2020 3711413
19.07.2020 3773260
20.07.2020 3834677
21.07.2020 3899211
22.07.2020 3970121
23.07.2020 4038816
24.07.2020 4112531
25.07.2020 4178970
26.07.2020 4233923
27.07.2020 4290337
28.07.2020 4356206
29.07.2020 4426982
30.07.2020 4495015
31.07.2020 4562107
01.08.2020 4620592
02.08.2020 4668172
03.08.2020 4713540
04.08.2020 4771080
05.08.2020 4823890
06.08.2020 4883582
07.08.2020 4941755
08.08.2020 4997929
09.08.2020 5044864
10.08.2020 5094400
11.08.2020 5141208
12.08.2020 5197411
13.08.2020 5248958
14.08.2020 5313252
15.08.2020 5361165
16.08.2020 5403213
17.08.2020 5438325
18.08.2020 5483388
19.08.2020 5529824
20.08.2020 5573847
21.08.2020 5622470
22.08.2020 5667070
23.08.2020 5701645
24.08.2020 5739536
25.08.2020 5777710
26.08.2020 5821819
27.08.2020 5867785
28.08.2020 5913941
29.08.2020 5961094
30.08.2020 5996431
31.08.2020 6030587
01.09.2020 6073840
02.09.2020 6113510
03.09.2020 6150016
04.09.2020 6200518
05.09.2020 6244970
06.09.2020 6276365
07.09.2020 6300622
08.09.2020 6327009
09.09.2020 6360212
10.09.2020 6396100
11.09.2020 6443652
12.09.2020 6485123
13.09.2020 6519573
14.09.2020 6553652
15.09.2020 6605733
